0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/top_up.jpg HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/primium_paid_certificarte.jpg HTTP/1.1" 200 6606
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/ru.jpg HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/get_stander.jpg HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/ru3.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/ru5.jpg HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/linkdivider.jpg HTTP/1.1" 200 7484
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/ru1.jpg HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/box1.jpg HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/switch.jpg HTTP/1.1" 200 3741
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/arrow1.png HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/top_bg.gif HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/icici_bg.jpg HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/inbox_bg.jpg HTTP/1.1" 200 9354
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/primum_alerts_btn.gif HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/alert_note_bg.jpg HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/inbox_btn.jpg HTTP/1.1" 200 9013
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/policy_summury_middle.jpg HTTP/1.1" 200 7593
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/banner_box_bg.jpg HTTP/1.1" 200 13669
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/policy_heading.png HTTP/1.1" 200 3629
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/total_bg.jpg HTTP/1.1" 200 8093
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/policy_summury_bottom.jpg HTTP/1.1" 200 9413
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/css/images/plush_minush_bg.png HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:24 +0530] "GET /ipru/Resultrix/html/images/deactive.jpg HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:24 +0530] "GET /ipru/Resultrix/html/images/active.jpg HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:56 +0530] "GET /ipru/Resultrix/html/index.jsp HTTP/1.1" 200 22671
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:56 +0530] "GET /ipru/Resultrix/html/css/images/plush_minush_bg.png HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:57 +0530] "GET /favicon.ico HTTP/1.1" 404 988
